"affy_hg_u133_plus_2"	"hgnc_symbol"
"1"	"1553551_s_at"	"MT-ND1"
"2"	"1553551_s_at"	"MT-TI"
"3"	"1553551_s_at"	"MT-TM"
"4"	"1553551_s_at"	"MT-ND2"
"5"	"1553569_at"	"MT-CO1"
"6"	"1553538_s_at"	"MT-CO1"
"7"	"1553570_x_at"	"MT-CO1"
"8"	"1553569_at"	"MT-TD"
"9"	"1553570_x_at"	"MT-TD"
"10"	"1553569_at"	"MT-CO2"
"11"	"1553567_s_at"	"MT-CO2"
"12"	"1553570_x_at"	"MT-CO2"
"13"	"1553567_s_at"	"MT-TK"
"14"	"1553567_s_at"	"MT-ATP8"
"15"	"1553567_s_at"	"MT-ATP6"
"16"	"1553588_at"	"MT-CO3"
"17"	"1553588_at"	"MT-TG"
"18"	"1553588_at"	"MT-ND3"
"19"	"1553588_at"	"MT-TR"
"20"	"1553588_at"	"MT-ND4L"
"21"	"224373_s_at"	"MT-ND4L"
"22"	"224373_s_at"	"MT-ND4"
"23"	"224372_at"	"MT-ND4"
"24"	"211600_at"	"MT-ND5"
"25"	"1555653_at"	"MT-ND5"
"26"	"1553575_at"	"MT-ND6"
"27"	"1553575_at"	"MT-TE"
"28"	"208568_at"	"MC2R"
"29"	"217434_at"	"MC2R"
"30"	"1553946_at"	"DCD"
"31"	"202908_at"	"WFS1"
"32"	"1555270_a_at"	"WFS1"
"33"	"232813_s_at"	"GOLGA6D"
"34"	"207575_at"	"GOLGA6D"
"35"	"217783_s_at"	"YPEL5"
"36"	"222408_s_at"	"YPEL5"
"37"	"237621_at"	"GABRG3-AS1"
"38"	"224575_at"	"BRK1"
"39"	"243850_at"	""
"40"	"208474_at"	"CLDN6"
"41"	"237810_at"	"CLDN6"
"42"	"206375_s_at"	"HSPB3"
"43"	"214598_at"	"CLDN8"
"44"	"239656_at"	"LHFPL3-AS2"
"45"	"205379_at"	"CBR3"
"46"	"233176_at"	""
"47"	"223835_x_at"	"OTP"
"48"	"231488_at"	"OTP"
"49"	"234231_at"	"CASP16P"
"50"	"211937_at"	"EIF4BP6"
"51"	"217918_at"	"DYNLRB1"
"52"	"217917_s_at"	"DYNLRB1"
"53"	"1554568_at"	"DYNLRB1"
"54"	"204039_at"	"CEBPA"
"55"	"1556494_at"	"LINC01365"
"56"	"227835_at"	""
"57"	"219926_at"	"POPDC3"
"58"	"1556445_at"	""
"59"	"206690_at"	"ASIC2"
"60"	"220139_at"	""
"61"	"223754_at"	"C2orf88"
"62"	"228195_at"	"C2orf88"
"63"	"205558_at"	"TRAF6"
"64"	"1552998_at"	"DEFB125"
"65"	"1564299_at"	""
"66"	"1555831_s_at"	"LRRC41"
"67"	"201932_at"	"LRRC41"
"68"	"215765_at"	"LRRC41"
"69"	"1558983_at"	"LRRC41"
"70"	"226722_at"	"FAM20C"
"71"	"234466_at"	"FAM20C"
"72"	"234897_s_at"	""
"73"	"207457_s_at"	""
"74"	"227732_at"	"ATXN7L1"
"75"	"214343_s_at"	"ATXN7L1"
"76"	"232265_at"	"ATXN7L1"
"77"	"224414_s_at"	"CARD6"
"78"	"232802_at"	"SYT8"
"79"	"231421_at"	"LINC00710"
"80"	"201491_at"	"AHSA1"
"81"	"229810_at"	"RSPH3"
"82"	"223713_at"	"RSPH3"
"83"	"235889_at"	"RSPH3"
"84"	"1555980_a_at"	""
"85"	"1555979_at"	""
"86"	"1556667_at"	"FTCDNL1"
"87"	"235221_at"	"CBLN3"
"88"	"1564138_at"	"FBXW12"
"89"	"1556048_at"	""
"90"	"213212_x_at"	"GOLGA6L4"
"91"	"215503_at"	"SPINT3"
"92"	"205078_at"	"PIGF"
"93"	"205077_s_at"	"PIGF"
"94"	"228946_at"	"INTU"
"95"	"211199_s_at"	""
"96"	"211198_s_at"	""
"97"	"213450_s_at"	""
"98"	"211197_s_at"	""
"99"	"217780_at"	"WDR83OS"
"100"	"1554741_s_at"	"FGF7"
"101"	"205782_at"	"FGF7"
"102"	"1555103_s_at"	"FGF7"
"103"	"1555102_at"	"FGF7"
"104"	"1553768_a_at"	"DCBLD1"
"105"	"226609_at"	"DCBLD1"
"106"	"233166_at"	"DEFB126"
"107"	"221414_s_at"	"DEFB126"
"108"	"1559227_s_at"	"VHL"
"109"	"203844_at"	"VHL"
"110"	"216617_s_at"	"MAG"
"111"	"1554875_at"	"CAMKMT"
"112"	"219617_at"	"CAMKMT"
"113"	"1560634_a_at"	""
"114"	"232000_at"	"TTC39B"
"115"	"242477_at"	"TTC39B"
"116"	"236826_at"	"TTC39B"
"117"	"244547_at"	""
"118"	"1553292_s_at"	""
"119"	"207090_x_at"	"ZFP30"
"120"	"235071_at"	""
"121"	"232813_s_at"	"GOLGA6C"
"122"	"207575_at"	"GOLGA6C"
"123"	"200725_x_at"	""
"124"	"234055_s_at"	"GZF1"
"125"	"225884_s_at"	"GZF1"
"126"	"1557709_at"	""
"127"	"202953_at"	"C1QB"
"128"	"203044_at"	"CHSY1"
"129"	"233343_at"	"DEFB127"
"130"	"225302_at"	"TMX3"
"131"	"1552822_at"	"TMX3"
"132"	"1563496_at"	"RNF217-AS1"
"133"	"1568826_at"	"LINC01012"
"134"	"235606_at"	"DUBR"
"135"	"239466_at"	"DUBR"
"136"	"207094_at"	"CXCR1"
"137"	"207457_s_at"	"LY6G6D"
"138"	"236531_at"	""
"139"	"223840_s_at"	"SPATA9"
"140"	"223841_s_at"	"SPATA9"
"141"	"232965_at"	""
"142"	"222918_at"	"RAB9B"
"143"	"218979_at"	"RMI1"
"144"	"1559501_at"	"CBR3-AS1"
"145"	"1559917_a_at"	"CBR3-AS1"
"146"	"1568930_at"	"EFCAB1"
"147"	"220156_at"	"EFCAB1"
"148"	"239500_at"	"EFCAB1"
"149"	"240065_at"	"FAM81B"
"150"	"218385_at"	"MRPS18A"
"151"	"221693_s_at"	"MRPS18A"
"152"	"1561055_at"	""
"153"	"202525_at"	"PRSS8"
"154"	"216545_at"	"GOT2P1"
"155"	"211697_x_at"	"PNO1"
"156"	"203622_s_at"	"PNO1"
"157"	"242627_at"	"PNO1"
"158"	"242905_at"	"PNO1"
"159"	"200956_s_at"	"SSRP1"
"160"	"200957_s_at"	"SSRP1"
"161"	"204525_at"	"PHF14"
"162"	"228095_at"	"PHF14"
"163"	"229243_at"	""
"164"	"234413_at"	""
"165"	"227104_x_at"	"ZNF800"
"166"	"227101_at"	"ZNF800"
"167"	"1564776_at"	""
"168"	"244710_at"	"LRGUK"
"169"	"230378_at"	"SCGB3A1"
"170"	"224269_at"	"KRTAP4-12"
"171"	"1569871_at"	""
"172"	"227984_at"	""
